Date,regime,holding,strategy_return,qqq_return,tqqq_return,year_month
2013-07-01,Turbulent,QQQ,0.006154787600785036,0.006154787600785036,0.021167276446740223,2013-07
2013-07-02,QQQ,QQQ,0.00041877989744846676,0.00041877989744846676,0.0004429795060677964,2013-07
2013-07-03,QQQ,QQQ,0.004033712484164586,0.004033712484164586,0.01347171550741425,2013-07
2013-07-05,Calm,TQQQ,-4.531651447299621,0.007606457702293894,0.021867613550591324,2013-07
2013-07-08,Calm,TQQQ,0.0032680639043361865,0.0009646724139423056,0.0032680639043361865,2013-07
2013-07-09,TQQQ,QQQ,4.542992045040035,0.006037531528513383,0.01813307344360643,2013-07
2013-07-10,QQQ,QQQ,0.005729924536068933,0.005729924536068933,0.0167139393890617,2013-07
2013-07-11,Calm,TQQQ,-4.453411064125751,0.019666394028984683,0.06046389261768482,2013-07
2013-07-12,TQQQ,QQQ,4.477470250006815,0.004392791852079689,0.01038996376345454,2013-07
2013-07-15,Calm,TQQQ,-4.459326189753216,0.002254993412182927,0.007754096490144512,2013-07
2013-07-16,TQQQ,QQQ,4.460255358755884,-0.0013258244095150449,-0.003932851583949873,2013-07
2013-07-17,QQQ,QQQ,0.002517319161964721,0.002517319161964721,0.007093455972137215,2013-07
2013-07-18,Calm,TQQQ,-4.466959531026183,-0.002517319161964711,-0.0073474574965224785,2013-07
2013-07-19,TQQQ,QQQ,4.454039485796647,-0.010402726067571493,-0.030863273844772235,2013-07
2013-07-22,Calm,TQQQ,-4.4777157795091895,0.002945087207450231,0.0071869801322298095,2013-07
2013-07-23,TQQQ,QQQ,4.473281650910263,-0.007379215806377271,-0.022516627671655277,2013-07
2013-07-24,QQQ,QQQ,0.003226790021107987,0.003226790021107987,0.009410059684232731,2013-07
2013-07-25,Calm,TQQQ,-4.471702523809717,0.006288103790642759,0.017912485109076098,2013-07
2013-07-26,TQQQ,QQQ,4.4833125884551075,0.005321960854747581,0.016451582468940386,2013-07
2013-07-29,Calm,TQQQ,-4.471460514693217,-0.0018595392887202794,-0.004599508707050292,2013-07
2013-07-30,TQQQ,QQQ,4.474903919260452,0.005302943855954522,0.014745045324964531,2013-07
2013-07-31,QQQ,QQQ,0.0018492671496780305,0.0018492671496780305,0.00628894410110106,2013-07
2013-08-01,Calm,TQQQ,-4.4257034402807545,0.010111559243296075,0.030015756703310047,2013-08
2013-08-02,TQQQ,QQQ,4.4414171859632345,0.005602186439184433,0.01653356529265233,2013-08
2013-08-05,Calm,TQQQ,-4.422731700951581,0.000649241906911331,0.0021519197190013654,2013-08
2013-08-06,TQQQ,QQQ,4.417390257128941,-0.005990685729551134,-0.017955458707389068,2013-08
2013-08-07,QQQ,QQQ,-0.0018300570283113302,-0.0018300570283113302,-0.005731670397594807,2013-08
2013-08-08,Calm,TQQQ,-4.4260056012454125,0.00496017157329292,0.013241727960201236,2013-08
2013-08-09,TQQQ,QQQ,4.426921048398101,-0.00404472442060477,-0.01079919842522964,2013-08
2013-08-12,Calm,TQQQ,-4.431517189470487,0.002350843342683611,0.006203057352843167,2013-08
2013-08-13,TQQQ,QQQ,4.43946085669961,0.005592823886440011,0.016473848804260564,2013-08
2013-08-14,QQQ,QQQ,-0.0037686191014172804,-0.0037686191014172804,-0.01115374221832646,2013-08
2013-08-15,Calm,TQQQ,-4.481842909167488,-0.01706921205097616,-0.051470778155228915,2013-08
